科目名,年度,時間割コード,テーマ
専門演習Ｂ(3),2016,2C361,一般的には、宗教は文化を構成する一要素であると考えられている。しかし、宗教は文化自体を形成するエネルギー源である、とする考え方も成り立つ。本授業では、基本的には後者の立場を採用し、授業参加者が選ぶテーマを宗教信仰によって創造された文化という枠組の中で、具体的に論じる。ヨーロッパとアメリカの諸事象を宗教の観点から分析する手法を身に着けることを目標とする。
スペイン語入門Ⅰ,2016,1C032,スペイン語初級文法の習得。直説法現在形に関する項目まで学びます。具体的には、日常の挨拶のやりとり、書かれた文章の正しい発音、辞書を用いた上での平易な現在形の文の理解、自分や第三者に関する紹介ができるようになることを到達目標とします。
日欧比較セミナーⅠ,2016,1C055,（テーマ）このコースはＥＵエキスパート人材養成プログラム (KUPES) を履修した学部２年生、及び欧州諸国出身の留学生、または欧州に関心のある留学生を対象に、欧州と日本の文化、経済、政治に関する様々な問題を比較的な視点で探求するものです。（到達目標）学生が欧州と日本の理解を深め、双方を批判的に比較できるようにすることを目的とします。授業への主体的な参加と教員・学生間のコミュニケーションを重視し、ディスカッション、プレゼンテーション、チームワークスキルなど留学に必要な資質の向上を目指します。 注）留学生は所属学部の担当者から事前に許可を得ること。 担当教員により１０人程度を選抜します。
スペイン語入門Ⅱ,2016,2C032,スペイン語初級文法の習得。動詞の直説法現在形再帰動詞から接続法現在形や命令文までを中心に学びます。具体的には、新聞記事程度の文章を辞書を用いて読み、過去の体験、将来の計画、日常生活のことを紹介し、母語話者が語る同様の内容を聴き取ることができる程度の力をつけることです。
博物館経営論,2016,2C082,"「博物館」といっても美術館・歴史博物館・民族資料館などの人文系もあれば、科学館・水族館・動物園などの自然系の博物館まで、非常に多くの種類がある。本講座では、人文系の美術館(美術博物館)の経営論を研究対象とする。美術館の歴史から美術館とは何かを考察する。美術館マネジメント及び美術館マーケッティングを研究しレポートとする。You think whart an art museum is from history in an art museum,Art museum management and marketing are studied and it's submitted as a report."
専門演習Ｂ(1),2016,2C222,ゲームやマルチメディアを楽しむ環境として、Webサーバとブラウザがある。ブラウザによるWebページは今や様々なエンターテイメントのプラットホームになっている。ここでは、ブラウザにおいて動的な操作を可能とする新しい規格、html5を使ったWebページ作成の上級編を解説するとともに、サーバ側の通信の仕組みを解説することで、複雑な通信を伴うWebページの構築を目指そう。　この仕組に習熟すれば、スマホやタブレットのアプリ開発にも移行できる。時間に余裕があればチャレンジしよう。
専門演習Ｂ(1),2016,2C233,テーマ：収容所空間の社会学収容所といえば特殊な場所と思われがちだが、収容所についての考察は、社会論・人間論の源泉であり続けてきた。実際、よくよく考えてみれば、「収容所のような」という形容は、軍隊や工場、病院はもちろん、学校、職場、国家そして家庭に適用可能かもしれない。この演習では、収容所空間とそこを生きる人々の世界についての文献を読み、そこで示された社会観・人間観を学びたい。収容所についての私なりの議論の整理は、「収容所」（西澤晃彦・渋谷望『社会学をつかむ』有斐閣、2007）という小論で行っているので事前に目を通しておいてほしい。
専門演習Ｂ(1),2016,2C263,スペイン・ラテンアメリカ研究、および食文化研究をメインテーマとします。受講生が自ら選んだテーマについて自主的に研究・調査し、研究報告やレポートというかたちで学問的見解を説得的に示せるようになることを到達目標とします。
専門演習Ｂ(3),2016,2C322,ゲームやマルチメディアを楽しむ環境として、Webサーバとブラウザがある。ブラウザによるWebページは今や様々なエンターテイメントのプラットホームになっている。ここでは、ブラウザにおいて動的な操作を可能とする新しい規格、html5を使ったWebページ作成の上級編を解説するとともに、サーバ側の通信の仕組みを解説することで、複雑な通信を伴うWebページの構築を目指そう。　この仕組に習熟すれば、スマホやタブレットのアプリ開発にも移行できる。時間に余裕があればチャレンジしよう。
専門演習Ｂ(3),2016,2C333,テーマ：収容所空間の社会学収容所といえば特殊な場所と思われがちだが、収容所についての考察は、社会論・人間論の源泉であり続けてきた。実際、よくよく考えてみれば、「収容所のような」という形容は、軍隊や工場、病院はもちろん、学校、職場、国家そして家庭に適用可能かもしれない。この演習では、収容所空間とそこを生きる人々の世界についての文献を読み、そこで示された社会観・人間観を学びたい。収容所についての私なりの議論の整理は、「収容所」（西澤晃彦・渋谷望『社会学をつかむ』有斐閣、2007）という小論で行っているので事前に目を通しておいてほしい。
専門演習Ｂ(3),2016,2C363,スペイン・ラテンアメリカ研究、および食文化研究をメインテーマとします。受講生が自ら選んだテーマについて自主的に研究・調査し、研究報告やレポートというかたちで学問的見解を説得的に示せるようになることを到達目標とします。
専門演習Ｂ(2),2016,1C343,データの構造化や組織化の基本について演習形式で習得できるようにします。主に分類や分解という物事を論理的に解釈するための方法論を理解できるようになります。
ドイツ語会話Ⅱ,2016,2C026,この授業の目標は、受講生一人ひとりのレベルに合わせた会話練習によって、今まで習った単語と文法をリフレッシュし、ゲーム等を通して更に語彙を増やすと共に、イディオムにも慣れ、それらを実際の会話でより豊かに使えるようにすることです。
多文化政治社会論,2016,2C149,異なる文化的背景を持つ人々とともに、安心して暮らしていける社会をどのように構想し、どのように作り上げていけばよいのでしょうか。ヨーロッパ諸国では、他国に先行して様々な取り組みが見られます。本講義では、ドイツを中心に、移民の社会統合の現状、移民政策の展開、移民政策の政治力学、移民の社会統合と福祉国家の関係について考察します。
ドイツ語会話Ⅰ,2016,1C026,この授業の目標は、受講生一人ひとりのレベルに合わせた会話練習によって、今まで習った単語と文法をリフレッシュし、ゲーム等を通して更に語彙を増やすと共に、イディオムにも慣れ、それらを実際の会話でより豊かに使えるようにすることです。
第二言語習得基礎論,2016,1C106,第二言語習得論では，第一言語（母語）ではない言語（第二言語，外国語）を私たちがどのような過程を経て習得・学習するのか，またその学習・習得にはどのような要因が関わるのかを扱います．この授業では第二言語習得論が成立した背景を取り上げるとともに，第二言語習得の代表的な理論を概観します．特に英語を外国語（あるいは第二言語）とする人たちが英語を習得する際に関係する言語学的，認知心理学的な要因と英語習得のプロセスについて取り上げます．この授業を履修した結果，（１）第二言語習得論の基礎的な知識を得ることと，（２）理論的な知識をもとに，受講者が実証的な言語習得研究のテーマを設定できるようになることを目標とします．
情報資料構成論,2016,1C116,様々なデータから情報を収集・加工・蓄積して資料を構成するために必要となる知識を習得することを目的とする．文系の学生を対象とするため、あまり難しくないように努める。例えば、必要となる論理の知識は第2回の集合論入門で解説・教授するので数学的知識は予め要求しない。
メディア文化論（グローバル専門科目）,2016,1C128,"Theme: Politics, Popular Culture and the MediaAim & Objective: Simply, to take fascism or the assemble of fascistic symptoms seriously, this is the key for the class. Fascism is not a historical remain or a thing of the past, nor merely the extreme eccentricity, but it's everywhere politics is aestheticised. We can possibly see it as the negative side of the world but also the negativity itself is concealed in the apparently brighter side too.Therefore, you should walk on the wild side to see yourself hanging on the balance.The class aims to address the fascistic moments in popular cultural genres, music and sport in particular, and understand the complex process with reference to a variety of artistic, journalistic and academic resources."
異文化コミュニケーション概論,2016,1C141,「異文化コミュニケーションと世界の多様な文化の対話・共生」を全体のテーマに、異文化コミュニケーション論講座で展開される教育研究の全体像の理解を目指す。　授業は初回のイントロダクションの後、３つのセクションからなり、各々「異文化関係論」「多文化共生論」「越境文化論」という本講座の３つの教育研究分野を概観するものとなっている。異文化コミュニケーションという国際文化学にとって極めて重要な課題にいかに取り組むのか、各自の関心を掘り下げる糸口を見出してほしい。
平和構築論,2016,1C150,冷戦後の国際社会では、国内紛争やテロリズムなどの国内紛争が最も数多く発生してきた武力紛争の形態となっている。国内紛争やテロリズムが発生する構造を分析したり、予防政策を検討したりすることが本講の主テーマとなる。取り扱われる主な事例は、中東やイスラーム世界における武力紛争となる。ニュースを解説する。
オセアニア社会文化論,2016,1C172,オーストラリアの先住民、アボリジニの社会と文化、オーストラリア国家との関係を中心に、オセアニア地域の歴史、社会、文化変化と現在について、「先住民」に焦点をあてて概説する。白人に「発見」されて以降の彼らの歴史的変化と現在を、我々と地続きの経験として理解することを目指す。
専門演習Ｂ(0),2016,1C250,絵画を中心に、デザイン、ファッションなど、視覚文化と社会に関する問題を扱う。芸術と社会、ジャポニスムなど異文化間の交流、芸術とジェンダーなどのテーマについて考察し、芸術表象に関する研究の基礎を作ることを目的とする。
専門演習Ｂ(2),2016,1C350,絵画を中心に、デザイン、ファッションなど、視覚文化と社会に関する問題を扱う。芸術と社会、ジャポニスムなど異文化間の交流、芸術とジェンダーなどのテーマについて考察し、芸術表象に関する研究の基礎を作ることを目的とする。
Academic Writing（グローバル専門科目）,2016,2C009,To improve and demonstrate basic competences in reading and writing skills for academic purposes in English.
情報環境論,2016,2C112,本授業では，携帯通信網を中心としたモバイルネットワークとスマートフォンなどに代表されるモバイルコンピュータの現状を紹介します。これを通して，一見，無関係に思われるような社会の隅々にまで情報技術が行き渡り，様々な影響を与えている現状を理解するとともに，社会の様々な問題に情報技術がどのように貢献できるのかを考えるための基礎的な知識の習得を目標とします。
視覚文化論,2016,2C134,この授業のテーマは、絵画を中心とする視覚イメージを通して、西洋近代の歴史・社会・文化の特性を考察することである。現代文化の基盤となっている西洋近代は、国民国家の形成、ナショナリズムの発揚、大都市の成立、大衆消費社会の興隆、技術の発達、帝国主義と戦争などによって特徴づけられる一方で、西洋の「外部」すなわち異文化との接触が活発になっていく時期でもある。絵画や視覚の歴史も、これらの変化と切り離すことはできない。この授業では、視覚イメージを通じて時代を読むと同時に、イメージそのものの社会的意義を考察することを目的とする。
現代アート論,2016,1C133,現代美術の諸問題を、アメリカ、日本、ヨーロッパにおける展開を中心に講義する。現代美術や抽象絵画はしばしば難解と敬遠されがちだが、その歴史的経緯を解説し、丁寧に作品分析をしていくことで、受講者一人一人が自分なりの鑑賞方法を養うことを目指す。
テクノ文明論,2016,1C153,テーマ：「ポスト３１１のイノベーション・モデルのテクノ文明論的検討、あらたなシュンペーター的「新結合」は期待できるのか？」今期は、テクノ文明論の観点から、「イノベーション研究」を多角的に検討する。まず、歴史的な概観のなかで、ヨーロッパ・アメリカのモデルとしての、「革命（リボルーション）」モデルと、日本の「技術革新（イノベーション）」モデルと対比する。その上で、いくつかの技術事例（江戸期、幕末、明治前後期、昭和期）をとりあげ、それぞれのイノベーションの実態を明らかにする。さらに日本における原子力技術が、ある典型的なイノベーションのあり方であったこと、その効用と限界があったことを論じる。その上で、ポスト３１１のさまざまなイノベーション・モデル（スマグリ、エコリサ、シェール）を、テクノ・カルスタの手法から分析することで、イノベーション論の現代的な意味を考えて行きたい。
専門演習Ａ,2016,1C228,本演習では、先端社会論の各分野がどのような具体的内容を持っているかを知ってもらい、今後の専門的学習に向けて基礎固めをすることを目的とする。したがって、先端社会論を構成する各々の分野「ジェンダー社会論（担当青山薫）」「バイオエシックス（担当山﨑康壮）」「環境倫理学（担当櫻井徹）」「メディア文化論（担当小笠原博毅）」「現代社会理論（担当西澤晃彦）」の各領域に関連する入門的文献を選び、これを素材とした発表・討論によって、先端社会論についての知見を深めることをめざす。
専門演習Ａ,2016,1C234,この授業は、広くアジア・太平洋地域の文化・政治経済・国際関係・宗教・民俗・歴史等々の諸問題に関する研究入門の演習とする。授業の目標は、2年次以降アジア・太平洋地域に関する専門的な演習に参加するための基礎的技術を習得することと、将来卒業論文を作成するに当たって必要となる最低限の方法論を身につけることである。グループごとに先行研究の整理や研究材料の探索などを発表してもらう予定。
専門演習Ｂ(0),2016,1C257,日本による平和構築政策や、アジアのNGO活動を検討してみよう。平和構築活動は、「ひと」が「つくる」過程であることを理解しよう。
専門演習Ｂ(2),2016,1C342,授業のテーマ2年次後期から3年次後期にかけて開講される，一連の専門演習B(1)-(3)では，コミュニケーション，社会，経済における現実の現象を分析するための手法を学びます。3年次前期の専門演習B(2)では，コンピュータを利用して実際にデータを分析する方法を学びます。到達目標本授業では，演習を通して，コミュニケーション，社会，経済における現象に対する分析手法の実際の利用手順の習得を目標とします。
専門演習Ｂ(2),2016,1C357,日本による平和構築政策や、アジアのNGO活動を検討してみよう。平和構築活動は、「ひと」が「つくる」過程であることを理解しよう。
統計情報処理,2016,2C115,高度情報化の現在において、統計的情報処理は人文科学の多くの分野で不可欠なものとなっている。世論調査などで得られた数値データを統計的な方法で処理し、その結果を解析する手法は、社会現象を取り扱うアプローチのひとつとして、頻繁に使われている。これと逆に、数値データに基づき、現象の数理モデル化を行い、そのモデルに対してシミュレーションを実行することによって、その現象の起こる機構を明らかにし、また、その現象の行方を推測することも、よく行われるアプローチである。 講義では、適当な例を取り、上の二つのアプローチによる解析を行うことによって統計的情報処理のテクニックを学ぶとともに、その有効性と限界についての理解を深める。
近代経済思想論,2016,2C123,今日における資本主義の変容と統治問題情報化やグローバル化をキーワードに語られる今日の資本主義が、18世紀以来の古典的資本主義とどのように異なり、また同じであるかを考える。その際、問題を経済的次元に限定させることなく、政治、とりわけ市場や人間の生そのものの管理や統治をめぐる諸思想との関連に留意する。
芸術文化環境論,2016,2C135,劇場、ホール、ミュージアムなどの芸術文化環境を考える上で避けることのできない文化政策の必要性、歴史的生成、理論的基礎、国際比較を通して、日本における文化政策の課題と展望を探る。
日本文化表象論,2016,2C166,日本映画の歴史と映画学的分析の基礎を学ぶ 黎明期から主に1960年代までの日本映画の歴史について解説しながら、映画学的な分析方法の基礎を学んでもらう。そのことを通じて、現代の私たちを取り巻く映像文化を批判的に読み解く技術を身につけてもらう。
専門演習Ｂ(1),2016,2C242,STSと、原発とバイオテクノロジー：「読書マラソン」による徹底的な情報収集
専門演習Ｂ(1),2016,2C255,この演習では、文化人類学の多様なテーマをとりあげ、文献資料を購読、分担を決めた上で、担当者が発表し、その内容について議論を行なう。議論を提示し、意見を交わし、考えることの面白さを理解することをめざす。
外国語演習（ロシア語）,2016,2C275,授業テーマは、「ロシア語文献の講読」である。到達目標は、ロシア語で書かれた研究論文や学術書を正確に日本語訳できるようになることである。
専門演習Ｂ(3),2016,2C342,STSと、原発とバイオテクノロジー：「読書マラソン」による徹底的な情報収集
専門演習Ｂ(3),2016,2C355,この演習では、文化人類学の多様なテーマをとりあげ、文献資料を購読、分担を決めた上で、担当者が発表し、その内容について議論を行なう。議論を提示し、意見を交わし、考えることの面白さを理解することをめざす。
Aspects of EU Culture and Society（Lecture）,2016,1C053,"The aim of this course is to introduce students to the European Union (EU). I will examine the ideas of a united Europe, the evolution of the EU and today’s inter-state relations within and between the EU and her neighbors. We will, furthermore, examine the continent’s cultural diversity and discuss the extent to which Europeans succeeded to form a common identity in order to substantiate their will to unite. Students will learn that despite its vast cultural diversity the European continent possesses a common intellectual history and a shared canon of values. They will also learn that Europe is characterized by regional differences and that we have to differentiate between West and East as well as North and South Europe in terms of EU membership sentiments."
情報コミュニケーション概論,2016,1C101,＜授業のテーマ＞1回生を対象に、「言語情報コミュニケーション」とは何か、分かりやすいトピックを扱いながら、概説をします。＜到達目標＞言語情報コミュニケーションについての基礎的な知識を得る事を目指します。
東アジア社会経済論（グローバル専門科目）,2016,1C167,"Contemporary Chinese Politics and Society     This course provides an introduction to the political and social history of China under the rules of Mao Zedong and Deng Xiaoping.  Particular emphasis is given to a dynamic, rather than static, understanding of China’s recent past.  Students will learn not only about changes in state structures and policies, but also about those in social structures and individual lives.  The land reform and socialist transformation in the 1950s, mass political movements of the Mao era―above all, the Great Leap Forward and the Cultural Revolution, and Deng’s “reform and open-door” policies all had profound impacts on the Chinese society, and brought about social tensions and conflicts.  The powerful “party-state” has also adapted to social changes and strains, transforming itself to suit new realities.  This course is focused on such interactions between the state and social forces."
専門演習Ａ,2016,1C230,世界には互いに異なる文化を有した多様な民族や社会集団が存在する。異文化関係論の教員が担当する演習Ａでは、異文化と異文化間の関係をいかに考察し、解読し、理解するのかという問題を念頭におきながら、異文化間のコミュニケーションが可能となる方法を探ってゆく。 　ただし、一口に異文化の理解といっても、その切り口は多様である。そこで、本演習では異文化についての学びを深めるうえで避けて通ることのできない「民族」を共通の主題として取り上げ、「民族」とは何か、いかにして「民族」なるものにアプローチをしていくのか、「民族」の多様なあり方の実態や、「民族紛争」をはじめとした「民族」をめぐる問題などといった諸点をめぐって議論を重ねてゆく。また本演習では、「民族」をめぐる理論的枠組みについて最初に学んだうえで、サハラ以南アフリカ、カリブ海、英米などの地域を対象とした具体的事例を取りあげてゆく予定である。
専門演習Ａ,2016,1C231,テクノポリティックス、技術ディプロマシー、戦略的互恵関係におけるテクノロジーの役割と国際政治、従軍慰安婦問題、ヘイトスピーチ、グローバル経済、国連、難民、第三世界、子どもの権利、臓器売買、ボランティア、移民、マクドナルド化、ディズ二ーランド研究、貧困研究、平和学、ヒロシマ、３１１、イノベーション研究、科学史・科学哲学、STSなどを学ぶことを目的とする。
専門演習Ｂ(0),2016,1C244,ルイ・アルチュセールの「国家装置」論とミシェル・フーコーの「権力装置」論を比較することを通して、現代につながる社会理論の基礎を学ぶ。両者のコントラストと意外な近さのなかに、国家や政治をめぐる現代的な問題を発見することを目指します。
専門演習Ｂ(0),2016,1C262,東南アジアは、さまざまな言語を話す民族が共存し、近現代にはさらに大量の移民を受け入れ、その中に独特の国際社会を形成しています。また、歴史的には多様な宗教を受容して重層的な信仰を形成しています。さらに現代には世界の三大宗教である仏教・イスラーム・キリスト教が人々の豊かな精神性を育んでおり、東南アジアの宗教者は、欧米人など多くの外国人をも魅了しています。その半面で、都市と農村、富めるものと貧しいものとの間には大きな格差が存在し、政治権力は多くの矛盾を抱えているという問題があります。 本演習では、受講生が現代東南アジアを中心としたアジア・太平洋地域における何らかの宗教・社会・文化の諸現象に関心を見出し、それについての的確な知識を身につけ、自分なりの分析を行うことを目標とします。
専門演習Ｂ(2),2016,1C344,ルイ・アルチュセールの「国家装置」論とミシェル・フーコーの「権力装置」論を比較することを通して、現代につながる社会理論の基礎を学ぶ。両者のコントラストと意外な近さのなかに、国家や政治をめぐる現代的な問題を発見することを目指します。
専門演習Ｂ(2),2016,1C362,東南アジアは、さまざまな言語を話す民族が共存し、近現代にはさらに大量の移民を受け入れ、その中に独特の国際社会を形成しています。また、歴史的には多様な宗教を受容して重層的な信仰を形成しています。さらに現代には世界の三大宗教である仏教・イスラーム・キリスト教が人々の豊かな精神性を育んでおり、東南アジアの宗教者は、欧米人など多くの外国人をも魅了しています。その半面で、都市と農村、富めるものと貧しいものとの間には大きな格差が存在し、政治権力は多くの矛盾を抱えているという問題があります。 本演習では、受講生が現代東南アジアを中心としたアジア・太平洋地域における何らかの宗教・社会・文化の諸現象に関心を見出し、それについての的確な知識を身につけ、自分なりの分析を行うことを目標とします。
Cultures and Societies in Japan Ⅲ（グローバル専門科目）,2016,2C041,"The course is intended to provide students with opportunities to raise awareness of various aspects of Japanese culture. Japanese first language students will improve their ability to describe and discuss their culture in English, while Japanese second language students will improve their ability to describe and discuss Japanese culture in Japanese."
日本語コミュニケーション,2016,2C042,にほんごの　かいわの　れんしゅうをします。　／コミュニケーションの基本となる会話能力や口頭発表能力の向上を目指す。/Conversation in Japanese
博物館情報・メディア論,2016,2C084,情報通信技術（ICT）が発展した近年、文字、音声、静止画像、動画像といったさまざまなメディアが、デジタル化され、マルチメディアという言葉で表現されるようにコンピュータ上で統合的に扱われるようになってきた。そして、それらは、インターネットを代表とするコンピュータネットワークによって伝達が可能となっている。わたしたちは、日常生活において、この技術を享受して暮らしているが、今日の博物館においてもこの技術を活用するためのさまざまな取り組みがなされている。しかしながら、この技術を博物館で活用するためには、その技術の可能性や問題点についての知識や技能は欠かすことはできない。　この授業では、博物館事業におけるデジタル情報の意義や種類、および、特徴、そして社会に向けて情報発信をする際の方法や課題を、情報倫理や知的財産権などと絡めながら、講義だけでなく、課題の制作を通じて、学び、博物館をめぐる様々な情報に対してどのように学芸員が関わっていくのかの理解を促すことを目的とする。
専門演習Ｂ(1),2016,2C218,この専門演習Bでは、第二言語(L2)を使用するなかで見落としがちで、しかしながら母語話者からはL2話者であることが明らかであるような、言語項目の習得について学びます。例としては英語の形態素や日本語の助詞の習得があげられます。これらはいわゆる習得困難項目ですが、何故習得が困難なのかをL2の理解と使用の両面から検討します。
専門演習Ｂ(1),2016,2C243,原発と廃棄物（ガレキ）とバイオテクノロジー：現地での情報収集と徹底的な情報収集＠もんじゅ、上関、豊島、直島、産業廃棄物
専門演習Ｂ(1),2016,2C254,この授業のテーマと目標は、歴史や環境問題等を含む広い意味での「北アジア・東アジア研究」とする。
外国語演習（フランス語）,2016,2C274,"仏語IAB, IIABなどで習得したフランス語の知識を確認し、さらに発展させつつ、グローバルな視点を養うことを目標とする。"
専門演習Ｂ(3),2016,2C318,この専門演習Bでは、第二言語(L2)を使用するなかで見落としがちで、しかしながら母語話者からはL2話者であることが明らかであるような、言語項目の習得について学びます。例としては英語の形態素や日本語の助詞の習得があげられます。これらはいわゆる習得困難項目ですが、何故習得が困難なのかをL2の理解と使用の両面から検討します。
専門演習Ｂ(3),2016,2C343,原発と廃棄物（ガレキ）とバイオテクノロジー：現地での情報収集と徹底的な情報収集＠もんじゅ、上関、豊島、直島、産業廃棄物
専門演習Ｂ(3),2016,2C354,この授業のテーマと目標は、歴史や環境問題等を含む広い意味での「北アジア・東アジア研究」とする。
アートマネジメント実習,2016,1C066,アートマネージメントの現代社会における意義を実践（調査、企画制作、ファンドレイジング）を通じて学習する。アートマネージメントを実践するうえで必要なネットワーク形成について学習する。アートの持つ力（創造力、想像力、コミュニケーション力等）を社会に活かすコーディネート力をつける。
専門演習Ｂ(0),2016,1C254,STS、原発とバイオテクノロジー：「読書マラソン」による徹底的な情報収集
専門演習Ｂ(2),2016,1C354,STS、原発とバイオテクノロジー：「読書マラソン」による徹底的な情報収集
専門演習Ｂ(3),2016,2C324,授業のテーマ本授業では，情報科学演習IIIやプログラミング基礎では物足りない学生向けに，さらに高度なコンピュータプログラミングを学びます。到達目標最新のプログラミング環境の利用法を習得し，自身のオリジナルプログラムの開発に活用できるようになることを目標とします。
情報科学概論,2016,1C001,現代の高度化情報社会において、コンピュータは社会活動を維持していく上で不可欠な要素となっている。特に、近年の半導体技術、計算機技術、通信技術の目ざましい進展によって高度化しつつある情報社会においては、電子化された情報の利用環境が整備されつつあり、単に情報を収集、蓄積するだけでなく、こうした情報を処理して活用することが要求される。 　この講義では、計算機科学を専門分野としない学生が、実際にコンピュータと関わっていく上で必要となる基礎知識を修得することを目標とする。
ヨーロッパ女性文化論,2016,1C175,テーマ：「女性登場人物をとおしてフランス近代を考える」フランス文学の傑作と呼ばれる小説中の女性たちの人物像や運命を考察することによって、19世紀から20世紀初頭にかけてのフランス社会の諸相と問題点を明らかにします。21世紀の日本に生きる私たちの抱える問題との共通点・相違点を発見し、自分で検討できるようになることをめざします。
外国語演習（英語）,2016,1C271,この外国語演習では、都市にかんする理論(Urban Theory)の英語文献をテキストに使用して、英語の専門的なテキストを読む基本的な訓練をおこないます。とくに、都市、観光、移民、ヒトやモノの国際的な移動に関係する英語文献で頻出する用語や専門的な概念を英語で学び、これらに関係して英語で書かれた専門的な文献がひとりで読めるようになることが到達の目標です。
Academic Writing（グローバル専門科目）,2016,2C005,"Educational systems are the products of culture.  Japanese education prepares students to be successful in a collectivist culture, performing their jobs and interacting with others appropriately in various personal and professional hierarchical relations.  Education in the West enables students to develop independent thought, preparing them to participate in an individualist society.  Rhetoric, the art of speaking and writing well, is a foundation of Western education.  In ancient Greece, because participation in democracy required citizens to speak effectively and persuasively, rhetoric was the core in the preparation of young men to become useful and successful members of society.  Today the curriculum has been adapted to the modern world, however rhetorical proficiency, in writing as well as in speaking, remains an essential element.  Students are required to write essays because in the process of writing clearly about a subject they understand it more thoroughly than if they only read about it or listen to lectures.  In writing essays and research papers students show that they not only have understood the course material but have incorporated it into their own thinking.  Having experience in this kind of writing is a valuable part of learning the English language, as preparation both for study abroad and for intercultural professional and business communication.  This is not a TOEIC class, however the kind of writing we will do is what is expected on the TOEIC test.         Because they belong to an individualist society, English speakers have a strong sense of ownership about the things they create:  their inventions, designs, ideas, and what they write.  English speakers must distinguish clearly in their writing between what are their own thoughts and words and where they have incorporated the work of other writers.  There is a system that enables readers to see this distinction easily.  In this class students will become familiar with this system."
言語間コミュニケーション論,2016,2C105,【授業のテーマ】異文化コミュニケーションとしての広義の翻訳行為をテーマとして扱う。【到達目標】本講義では、言語コミュニケーションについての基本的知識と学問的アプローチの方法を、翻訳を例にして修得することを目標とする。そして日常的に接している翻訳テクストが、異文化間コミュニケーション行為の産物であり、テクスト成立にコミュニケーションの諸要因がどのような作用を及ぼしているのかについて議論を深める。具体的には、英語と日本語の間の翻訳例を比較･分析することにより、英日語間のコミュニケーションに文化の差異がどのように現れるかを明らかにする。さらに、様々なジャンルのテクストをや読者の違いが翻訳にどう影響するのか。映画や歌詞の翻訳など、映像やメロディーと言った言語以外の要素を含むテクストでは、翻訳はどのような制約を受けるのか。講義では翻訳理論の歴史的変遷を紹介しつつ、このような翻訳を取り巻く問題を考察していく。
外国語演習（英語）,2016,2C269,文学、建築、映画などのあらゆる文化や、政治・社会思想にも影響をおよぼしている中世主義（Medievalism）という思想にかんする英語のテクストを読みます。英語で書かれた専門的なテクストから学んだ知識を、じっさいに議論や作品分析につなげていけるようになることを目標とします。
英語文章表現（上級）,2016,1C020,The ultimate goal of this course is to improve students' abilities to write in English in a manner appropriate for academic discourse. A critical aspect of the course is having students read and summarize information from various sources in an objective manner and then to provide thoughtful opinions in a logically organized and reasoned manner in English. Emphasis is placed on development specific writing skills and strategies as well as the development of English vocabulary and language.
英会話（上級）Ⅰ,2016,1C022,Course Objectives1. To improve students’ understanding of authentic spoken discourse2. To broaden students’ cultural understanding3. To expand English vocabulary and improve spoken fluency
英会話（上級）Ⅰ,2016,1C024,"English for Intercultural Studies I (Advanced) is designed for students to be able to discuss issues related to current events. Students will be expected to lead discussions, give presentations and involve their peers in language activities. Students will research topics based on intercultural issues. The overall emphasis will be on students to do peer teaching activities. Students will receive guidance to organize their presentations and discussions."
国際人権論,2016,1C052,人権の保護は、国際社会における重要課題の一つである。この講義は、国際人権法の制度や先例を紹介することを目的としている。講義終了時において、学生諸君には、法的視点から国際的な人権問題を説明できるようになっていることが望まれる。
博物館展示論,2016,1C083,博物館における展覧会とは何かを考える。また展覧会企画の具体的手法を知る。
現代アメリカ論,2016,1C178,アメリカ合衆国が世界に及ぼしている影響力は今でもなお圧倒的なものがあります。その一方で、ますますグローバル化する世界経済のなかで合衆国の対外的パワーは確実に低下傾向にあり、ヒスパニック人口の増加に象徴されるように、その国内社会状況も着実に変化しつつあります。この講義ではそのようなさまざまに揺れ動いているアメリカ合衆国の政治、経済、社会を、過去、現在、未来の時間軸のなかでとらえていきます。
初年次セミナー,2016,1C201,授業のテーマ初年次セミナーは、大学生として必要な、主体的な学びの姿勢を育むことを目的としています。大学とはどんなところか、神戸大学の使命・ビジョン、大学のカリキュラム、大学生として守るべき社会的マナー等、全学共通の項目を盛り込んだ教材を用いて、４年間の学びのプランを自ら考えさせるねらいを持っています。到達目標新入生が教員や他の学生との対話を通じ、大学生として必要となる自律的な学びの姿勢を育むことを目的とする。専門分野の導入として学生が学士課程を通じた学修目標と学修計画を立てることができるようになることをめざす。
初年次セミナー,2016,1C202,授業のテーマ初年次セミナーは、大学生として必要な、主体的な学びの姿勢を育むことを目的としています。大学とはどんなところか、神戸大学の使命・ビジョン、大学のカリキュラム、大学生として守るべき社会的マナー等、全学共通の項目を盛り込んだ教材を用いて、４年間の学びのプランを自ら考えさせるねらいを持っています。到達目標新入生が教員や他の学生との対話を通じ、大学生として必要となる自律的な学びの姿勢を育むことを目的とする。専門分野の導入として学生が学士課程を通じた学修目標と学修計画を立てることができるようになることをめざす。
